context,objectType,query,articleType,granularTopic,broadTopic,date,startPage,pageLength,sortBy,showFacets,journal,showResult,logmsg
catalyst,catalyst-article,value,Conversation,cat-gt-008,Culture+of+Health,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-269-total-3
catalyst,catalyst-article,health,Article,cat-gt-008,Market+Landscape,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-283-total-8
catalyst,catalyst-article,health,Article,cat-gt-008,cat-bt-006,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-283-total-8
catalyst,catalyst-article,value,Article,cat-gt-009,cat-bt-005,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-285-total-6
catalyst,catalyst-article,value,Article,cat-gt-009,Health+Care+Leadership,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-285-total-6
catalyst,catalyst-article,system,Conversation,cat-gt-009,cat-bt-002,past5Years,1,100,Most+Relevant,Y,cat-non-issue,short,QAUTO-5818-generated-no-297-total-10
catalyst,catalyst-article,system,Conversation,cat-gt-009,Analytics+and+Outcomes,past5Years,1,100,Most+Relevant,Y,cat-non-issue,short,QAUTO-5818-generated-no-297-total-10
catalyst,catalyst-article,health,Article,cat-gt-009,cat-bt-006,past5Years,1,100,Most+Cited,Y,carryover,short,QAUTO-5818-generated-no-311-total-19
catalyst,catalyst-article,health,Article,cat-gt-009,cat-bt-003,past5Years,1,100,Most+Cited,Y,carryover,short,QAUTO-5818-generated-no-311-total-19
catalyst,catalyst-article,health,Article,cat-gt-010,cat-bt-003,past10Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-313-total-7
catalyst,catalyst-article,health,Article,cat-gt-010,cat-bt-007,past10Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-313-total-7
catalyst,catalyst-article,care,Talk,cat-gt-010,cat-bt-008,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-317-total-3
catalyst,catalyst-article,care,Talk,cat-gt-010,Patient-Centered+Care,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-317-total-3
catalyst,catalyst-article,medicare,Article,cat-gt-010,cat-bt-004,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-331-total-8
catalyst,catalyst-article,medicare,Article,cat-gt-010,cat-bt-006,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-331-total-8
catalyst,catalyst-article,value,Article,cat-gt-011,Market+Landscape,past10Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-333-total-6
catalyst,catalyst-article,value,Article,cat-gt-011,New+Models+of+Care,past10Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-333-total-6
catalyst,catalyst-article,system,Talk,cat-gt-011,cat-bt-008,past5Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-336-total-4
catalyst,catalyst-article,system,Talk,cat-gt-011,Culture+of+Health,past5Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-336-total-4
catalyst,catalyst-article,medicare,Article,cat-gt-011,cat-bt-005,past5Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-350-total-15
catalyst,catalyst-article,medicare,Article,cat-gt-011,cat-bt-002,past5Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-350-total-15
catalyst,catalyst-article,health,Article,cat-gt-012,Health+Care+Leadership,past10Years,1,100,relevance,Y,catalyst,short,QAUTO-5818-generated-no-352-total-10
catalyst,catalyst-article,health,Article,cat-gt-012,Alternative+Payment+Models+(APM),past10Years,1,100,relevance,Y,catalyst,short,QAUTO-5818-generated-no-352-total-10
catalyst,catalyst-article,health,Talk,cat-gt-012,Health+Care+Leadership,past5Years,1,100,Latest,Y,cat-non-issue,short,QAUTO-5818-generated-no-354-total-11
catalyst,catalyst-article,health,Talk,cat-gt-012,cat-bt-002,past5Years,1,100,Latest,Y,cat-non-issue,short,QAUTO-5818-generated-no-354-total-11
catalyst,catalyst-article,care,Article,cat-gt-012,Culture+of+Health,past10Years,1,100,relevance,Y,carryover,short,QAUTO-5818-generated-no-368-total-10
catalyst,catalyst-article,care,Article,cat-gt-012,Patient-Centered+Care,past10Years,1,100,relevance,Y,carryover,short,QAUTO-5818-generated-no-368-total-10
catalyst,catalyst-article,health,Article,cat-gt-013,New+Models+of+Care,past10Years,1,100,Latest,Y,catalyst,short,QAUTO-5818-generated-no-370-total-5
catalyst,catalyst-article,health,Article,cat-gt-013,cat-bt-004,past10Years,1,100,Latest,Y,catalyst,short,QAUTO-5818-generated-no-370-total-5
catalyst,catalyst-article,health,Talk,cat-gt-013,cat-bt-004,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-381-total-7
catalyst,catalyst-article,health,Talk,cat-gt-013,cat-bt-008,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-381-total-7
catalyst,catalyst-article,value,Article,cat-gt-013,cat-bt-005,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-395-total-45
catalyst,catalyst-article,value,Article,cat-gt-013,Health+Technology,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-395-total-45
catalyst,catalyst-article,value,In+Depth,cat-gt-014,cat-bt-003,past5Years,1,100,citedByCount-descending,Y,catalyst,short,QAUTO-5818-generated-no-398-total-4
catalyst,catalyst-article,value,In+Depth,cat-gt-014,Health+Care+Leadership,past5Years,1,100,citedByCount-descending,Y,catalyst,short,QAUTO-5818-generated-no-398-total-4
catalyst,catalyst-article,health,Talk,cat-gt-014,cat-bt-008,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-405-total-7
catalyst,catalyst-article,health,Talk,cat-gt-014,cat-bt-002,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-405-total-7
catalyst,catalyst-article,value,Article,cat-gt-014,cat-bt-008,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-419-total-34
catalyst,catalyst-article,value,Article,cat-gt-014,cat-bt-002,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-419-total-34
catalyst,catalyst-article,care,In+Depth,cat-gt-015,Culture+of+Health,past5Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-423-total-3
catalyst,catalyst-article,care,In+Depth,cat-gt-015,Patient-Centered+Care,past5Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-423-total-3
catalyst,catalyst-article,care,Talk,cat-gt-015,Patient-Centered+Care,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-429-total-4
catalyst,catalyst-article,care,Talk,cat-gt-015,cat-bt-008,past10Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-429-total-4
catalyst,catalyst-article,health,Article,cat-gt-015,cat-bt-008,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-443-total-5
catalyst,catalyst-article,health,Article,cat-gt-015,Patient-Centered+Care,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-443-total-5
catalyst,catalyst-article,value,Article,cat-gt-016,cat-bt-008,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-445-total-10
catalyst,catalyst-article,value,Article,cat-gt-016,Patient-Centered+Care,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-445-total-10
catalyst,catalyst-article,care,Talk,cat-gt-016,cat-bt-001,past5Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-448-total-6
catalyst,catalyst-article,care,Talk,cat-gt-016,Alternative+Payment+Models+(APM),past5Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-448-total-6
catalyst,catalyst-article,care,Article,cat-gt-016,New+Models+of+Care,past10Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-462-total-75
catalyst,catalyst-article,care,Article,cat-gt-016,cat-bt-004,past10Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-462-total-75
catalyst,catalyst-article,medicare,Article,cat-gt-017,cat-bt-002,past10Years,1,100,relevance,Y,catalyst,short,QAUTO-5818-generated-no-464-total-3
catalyst,catalyst-article,medicare,Article,cat-gt-017,Analytics+and+Outcomes,past10Years,1,100,relevance,Y,catalyst,short,QAUTO-5818-generated-no-464-total-3
catalyst,catalyst-article,health,Conversation,cat-gt-017,Health+Care+Leadership,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-477-total-4
catalyst,catalyst-article,health,Conversation,cat-gt-017,New+Models+of+Care,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-477-total-4
catalyst,catalyst-article,value,Article,cat-gt-017,cat-bt-008,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-491-total-6
catalyst,catalyst-article,value,Article,cat-gt-017,Culture+of+Health,past5Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-491-total-6
catalyst,catalyst-article,value,Article,cat-gt-018,Health+Technology,past10Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-493-total-10
catalyst,catalyst-article,value,Article,cat-gt-018,cat-bt-002,past10Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-493-total-10
catalyst,catalyst-article,system,Conversation,cat-gt-018,cat-bt-003,past5Years,1,100,Oldest,Y,cat-non-issue,short,QAUTO-5818-generated-no-500-total-6
catalyst,catalyst-article,system,Conversation,cat-gt-018,cat-bt-004,past5Years,1,100,Oldest,Y,cat-non-issue,short,QAUTO-5818-generated-no-500-total-6
catalyst,catalyst-article,value,Article,cat-gt-018,cat-bt-008,past5Years,1,100,Latest,Y,carryover,short,QAUTO-5818-generated-no-514-total-7
catalyst,catalyst-article,value,Article,cat-gt-018,Patient-Centered+Care,past5Years,1,100,Latest,Y,carryover,short,QAUTO-5818-generated-no-514-total-7
catalyst,catalyst-article,medicare,Article,cat-gt-019,cat-bt-006,past5Years,1,100,Oldest,Y,catalyst,short,QAUTO-5818-generated-no-516-total-9
catalyst,catalyst-article,medicare,Article,cat-gt-019,cat-bt-007,past5Years,1,100,Oldest,Y,catalyst,short,QAUTO-5818-generated-no-516-total-9
catalyst,catalyst-article,health,Conversation,cat-gt-019,Health+Care+Leadership,past10Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-519-total-4
catalyst,catalyst-article,health,Conversation,cat-gt-019,Alternative+Payment+Models+(APM),past10Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-519-total-4
catalyst,catalyst-article,health,Article,cat-gt-019,cat-bt-002,past10Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-533-total-27
catalyst,catalyst-article,health,Article,cat-gt-019,cat-bt-004,past10Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-533-total-27
catalyst,catalyst-article,value,Article,cat-gt-020,Analytics+and+Outcomes,past10Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-535-total-5
catalyst,catalyst-article,value,Article,cat-gt-020,cat-bt-004,past10Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-535-total-5
catalyst,catalyst-article,system,Conversation,cat-gt-020,Analytics+and+Outcomes,past5Years,1,100,pubdate-descending,Y,cat-non-issue,short,QAUTO-5818-generated-no-547-total-7
catalyst,catalyst-article,system,Conversation,cat-gt-020,Culture+of+Health,past5Years,1,100,pubdate-descending,Y,cat-non-issue,short,QAUTO-5818-generated-no-547-total-7
catalyst,catalyst-article,value,Article,cat-gt-020,cat-bt-001,past10Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-561-total-30
catalyst,catalyst-article,value,Article,cat-gt-020,cat-bt-004,past10Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-561-total-30
catalyst,catalyst-article,value,Article,cat-gt-021,cat-bt-004,past10Years,1,100,pubdate-descending,Y,catalyst,short,QAUTO-5818-generated-no-563-total-5
catalyst,catalyst-article,value,Article,cat-gt-021,cat-bt-002,past10Years,1,100,pubdate-descending,Y,catalyst,short,QAUTO-5818-generated-no-563-total-5
catalyst,catalyst-article,system,Conversation,cat-gt-021,Culture+of+Health,past5Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-575-total-14
catalyst,catalyst-article,system,Conversation,cat-gt-021,Analytics+and+Outcomes,past5Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-575-total-14
catalyst,catalyst-article,medicare,Article,cat-gt-021,cat-bt-003,past5Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-589-total-4
catalyst,catalyst-article,medicare,Article,cat-gt-021,cat-bt-002,past5Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-589-total-4
catalyst,catalyst-article,health,Article,cat-gt-022,Health+Care+Leadership,past10Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-591-total-5
catalyst,catalyst-article,health,Article,cat-gt-022,cat-bt-004,past10Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-591-total-5
catalyst,catalyst-article,health,Conversation,cat-gt-022,Culture+of+Health,past10Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-599-total-7
catalyst,catalyst-article,health,Conversation,cat-gt-022,cat-bt-007,past10Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-599-total-7
catalyst,catalyst-article,value,Article,cat-gt-022,cat-bt-001,past5Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-613-total-22
catalyst,catalyst-article,value,Article,cat-gt-022,Culture+of+Health,past5Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-613-total-22
catalyst,catalyst-article,medicare,Article,cat-gt-023,cat-bt-008,past5Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-615-total-4
catalyst,catalyst-article,medicare,Article,cat-gt-023,New+Models+of+Care,past5Years,1,100,Most+Cited,Y,catalyst,short,QAUTO-5818-generated-no-615-total-4
catalyst,catalyst-article,system,Conversation,cat-gt-023,cat-bt-007,past10Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-624-total-7
catalyst,catalyst-article,system,Conversation,cat-gt-023,Culture+of+Health,past10Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-624-total-7
catalyst,catalyst-article,medicare,Article,cat-gt-023,cat-bt-008,past5Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-638-total-22
catalyst,catalyst-article,medicare,Article,cat-gt-023,cat-bt-005,past5Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-638-total-22
catalyst,catalyst-article,care,In+Depth,cat-gt-024,Health+Care+Leadership,past10Years,1,100,Latest,Y,catalyst,short,QAUTO-5818-generated-no-650-total-3
catalyst,catalyst-article,care,In+Depth,cat-gt-024,cat-bt-001,past10Years,1,100,Latest,Y,catalyst,short,QAUTO-5818-generated-no-650-total-3
catalyst,catalyst-article,system,Article,cat-gt-024,cat-bt-004,past5Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-677-total-27
catalyst,catalyst-article,system,Article,cat-gt-024,Culture+of+Health,past5Years,1,100,pubdate-ascending,Y,carryover,short,QAUTO-5818-generated-no-677-total-27
catalyst,catalyst-article,care,Article,cat-gt-025,Analytics+and+Outcomes,past10Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-718-total-3
catalyst,catalyst-article,care,Article,cat-gt-025,cat-bt-002,past10Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-718-total-3
catalyst,catalyst-article,value,From+the+Editors,cat-gt-026,Health+Care+Leadership,past10Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-721-total-3
catalyst,catalyst-article,value,From+the+Editors,cat-gt-026,cat-bt-004,past10Years,1,100,Most+Relevant,Y,catalyst,short,QAUTO-5818-generated-no-721-total-3
catalyst,catalyst-article,value,Article,cat-gt-026,Health+Care+Leadership,past10Years,1,100,Oldest,Y,carryover,short,QAUTO-5818-generated-no-748-total-3
catalyst,catalyst-article,value,Article,cat-gt-026,cat-bt-004,past10Years,1,100,Oldest,Y,carryover,short,QAUTO-5818-generated-no-748-total-3
catalyst,catalyst-article,health,Article,cat-gt-027,Health+Care+Leadership,past10Years,1,100,citedByCount-descending,Y,catalyst,short,QAUTO-5818-generated-no-750-total-6
catalyst,catalyst-article,health,Article,cat-gt-027,Culture+of+Health,past10Years,1,100,citedByCount-descending,Y,catalyst,short,QAUTO-5818-generated-no-750-total-6
catalyst,catalyst-article,medicare,Article,cat-gt-027,cat-bt-007,past10Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-777-total-5
catalyst,catalyst-article,medicare,Article,cat-gt-027,Analytics+and+Outcomes,past10Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-777-total-5
catalyst,catalyst-article,value,Article,cat-gt-028,cat-bt-008,past10Years,1,100,pubdate-descending,Y,catalyst,short,QAUTO-5818-generated-no-779-total-10
catalyst,catalyst-article,value,Article,cat-gt-028,Patient-Centered+Care,past10Years,1,100,pubdate-descending,Y,catalyst,short,QAUTO-5818-generated-no-779-total-10
catalyst,catalyst-article,system,Conversation,cat-gt-028,cat-bt-004,past5Years,1,100,Oldest,Y,cat-non-issue,short,QAUTO-5818-generated-no-788-total-7
catalyst,catalyst-article,system,Conversation,cat-gt-028,Culture+of+Health,past5Years,1,100,Oldest,Y,cat-non-issue,short,QAUTO-5818-generated-no-788-total-7
catalyst,catalyst-article,care,Article,cat-gt-028,cat-bt-008,past10Years,1,100,Latest,Y,carryover,short,QAUTO-5818-generated-no-802-total-42
catalyst,catalyst-article,care,Article,cat-gt-028,Culture+of+Health,past10Years,1,100,Latest,Y,carryover,short,QAUTO-5818-generated-no-802-total-42
catalyst,catalyst-article,care,Article,cat-gt-029,cat-bt-008,past10Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-843-total-10
catalyst,catalyst-article,care,Article,cat-gt-029,Culture+of+Health,past10Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-843-total-10
catalyst,catalyst-article,health,Article,cat-gt-030,cat-bt-006,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-845-total-6
catalyst,catalyst-article,health,Article,cat-gt-030,Market+Landscape,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-845-total-6
catalyst,catalyst-article,health,Conversation,cat-gt-030,Culture+of+Health,past10Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-848-total-6
catalyst,catalyst-article,health,Conversation,cat-gt-030,cat-bt-004,past10Years,1,100,relevance,Y,cat-non-issue,short,QAUTO-5818-generated-no-848-total-6
catalyst,catalyst-article,system,Article,cat-gt-030,cat-bt-005,past10Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-862-total-48
catalyst,catalyst-article,system,Article,cat-gt-030,cat-bt-003,past10Years,1,100,citedByCount-descending,Y,carryover,short,QAUTO-5818-generated-no-862-total-48
catalyst,catalyst-article,care,Article,cat-gt-031,Patient-Centered+Care,past5Years,1,100,relevance,Y,catalyst,short,QAUTO-5818-generated-no-864-total-10
catalyst,catalyst-article,care,Article,cat-gt-031,cat-bt-003,past5Years,1,100,relevance,Y,catalyst,short,QAUTO-5818-generated-no-864-total-10
catalyst,catalyst-article,system,Conversation,cat-gt-031,cat-bt-003,past5Years,1,100,pubdate-descending,Y,cat-non-issue,short,QAUTO-5818-generated-no-867-total-9
catalyst,catalyst-article,system,Conversation,cat-gt-031,cat-bt-007,past5Years,1,100,pubdate-descending,Y,cat-non-issue,short,QAUTO-5818-generated-no-867-total-9
catalyst,catalyst-article,system,Article,cat-gt-031,cat-bt-007,past5Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-881-total-8
catalyst,catalyst-article,system,Article,cat-gt-031,Culture+of+Health,past5Years,1,100,Most+Relevant,Y,carryover,short,QAUTO-5818-generated-no-881-total-8
catalyst,catalyst-article,health,Article,cat-gt-032,New+Models+of+Care,past10Years,1,100,pubdate-descending,Y,catalyst,short,QAUTO-5818-generated-no-883-total-4
catalyst,catalyst-article,health,Article,cat-gt-032,cat-bt-008,past10Years,1,100,pubdate-descending,Y,catalyst,short,QAUTO-5818-generated-no-883-total-4
catalyst,catalyst-article,care,Conversation,cat-gt-032,Health+Care+Leadership,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-893-total-3
catalyst,catalyst-article,care,Conversation,cat-gt-032,cat-bt-004,past5Years,1,100,pubdate-ascending,Y,cat-non-issue,short,QAUTO-5818-generated-no-893-total-3
catalyst,catalyst-article,care,Article,cat-gt-032,New+Models+of+Care,past10Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-907-total-22
catalyst,catalyst-article,care,Article,cat-gt-032,cat-bt-003,past10Years,1,100,pubdate-descending,Y,carryover,short,QAUTO-5818-generated-no-907-total-22
catalyst,catalyst-article,system,Article,cat-gt-033,cat-bt-005,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-909-total-3
catalyst,catalyst-article,system,Article,cat-gt-033,Analytics+and+Outcomes,past5Years,1,100,pubdate-ascending,Y,catalyst,short,QAUTO-5818-generated-no-909-total-3
catalyst,catalyst-article,system,Talk,cat-gt-033,cat-bt-003,past5Years,1,100,Most+Cited,Y,cat-non-issue,short,QAUTO-5818-generated-no-919-total-3
